state,i_urban,age,i_asian,i_black,i_hispanic,i_indigenous,i_white,i_female,i_male,i_grad_college,i_married,personal_income,i_foodstamps,i_health_insurance,i_internet,time_depart,time_arrive,time_commuting
AR,1,46,1,0,0,0,0,1,0,0,1,1.5,0,1,1,512,519,5
AR,1,61,0,0,0,0,1,1,0,0,1,3.105,0,1,1,285,294,12
AR,1,75,0,0,0,0,1,0,1,0,1,1.62,0,1,1,482,484,1
AR,1,27,0,0,0,0,1,1,0,1,0,3.8,0,1,1,392,414,20
AR,1,28,0,0,0,0,1,0,1,0,1,3,0,1,1,382,414,30
AR,1,45,0,0,0,0,1,0,1,0,1,0.5,1,0,1,347,359,10
AR,1,54,0,0,0,0,1,1,0,0,1,3.15,0,1,1,452,484,30
AR,1,23,0,0,0,0,1,0,1,0,1,3.3,0,1,1,302,309,5
AR,1,21,0,0,0,0,1,0,1,0,1,4.1,0,1,1,392,424,30
CA,0,24,0,0,1,0,0,0,1,0,0,1.5,0,1,1,135,139,15
CA,0,23,0,0,1,0,1,0,1,0,0,1.1,0,1,1,332,364,30
CA,0,33,0,0,0,0,1,1,0,0,0,3.5,0,1,1,482,494,10
CA,0,51,0,0,0,0,0,0,1,1,1,14,0,1,1,362,384,20
CA,0,59,0,0,0,0,1,0,1,1,1,9.8,0,1,1,332,354,20
CA,0,40,0,0,1,0,1,1,0,1,1,8,0,1,1,437,454,15
CA,0,49,0,0,0,0,1,1,0,0,0,2.5,0,0,1,105,134,40
CA,0,26,0,0,1,0,1,0,1,0,0,4,0,1,1,1325,1344,20
CA,0,22,0,0,0,0,1,0,1,0,0,0.092,0,1,1,482,494,12
CA,0,55,0,0,0,0,1,0,1,0,1,56.5,0,1,1,422,434,10
CA,0,62,0,0,0,0,1,0,1,0,1,10,0,1,1,482,514,30
CA,0,21,0,0,1,0,1,0,1,0,0,1.2,0,1,1,422,544,141
CA,0,51,0,0,0,0,1,0,1,0,1,8,0,1,1,332,349,15
CA,0,39,0,0,0,0,1,0,1,1,0,4.72,0,1,1,392,404,12
CA,0,21,0,0,0,0,1,1,0,0,0,0.6,0,1,1,332,369,35
CA,0,56,0,0,0,0,1,0,1,0,0,1.5,0,0,1,542,614,70
CA,0,57,0,0,1,0,0,1,0,0,1,2.5,0,0,1,362,379,15
CA,0,28,0,0,0,0,1,0,1,0,1,4,0,1,1,362,394,30
CA,0,21,1,0,1,0,0,1,0,0,1,3.2,1,1,1,437,444,5
CA,0,38,0,0,1,0,1,1,0,0,1,0.15,0,0,1,635,649,15
CA,1,25,0,1,0,0,0,0,1,0,0,1.5,0,1,1,482,489,5
CA,1,19,1,0,0,0,0,0,1,0,0,0.8,0,1,1,482,499,15
CA,1,29,0,0,1,0,1,0,1,0,0,1.12,0,0,0,905,924,20
CA,1,23,0,0,0,0,1,0,1,1,0,10,1,1,1,472,519,45
CA,1,31,0,0,1,0,1,1,0,1,0,7.5,0,1,1,527,544,15
CA,1,26,0,0,0,0,1,0,1,1,0,4.8,0,1,1,452,489,35
CA,1,48,0,0,0,0,1,1,0,0,1,4,0,1,1,945,959,10
CA,1,30,0,0,0,0,1,0,1,1,0,3,0,1,1,392,434,40
CA,1,42,0,0,0,0,1,1,0,1,0,4,0,1,1,605,664,60
CA,1,58,0,0,0,0,1,0,1,0,1,18.7,0,1,1,482,504,20
CA,1,19,1,0,0,0,0,1,0,0,0,0.5,0,1,1,422,444,20
CA,1,67,0,0,0,0,1,1,0,1,1,3.83,0,1,1,472,489,15
CA,1,66,0,0,1,0,0,0,1,0,1,10.121,0,1,1,275,314,40
CA,1,44,0,0,1,0,1,0,1,0,0,4.5,0,1,1,332,364,30
CA,1,42,1,0,0,0,0,1,0,1,0,0.2,1,0,0,845,874,30
CA,1,31,0,0,1,0,1,0,1,0,1,4.5,0,0,1,542,604,60
CA,1,58,0,0,1,0,1,1,0,0,0,4.8,0,1,1,605,639,35
CA,1,37,0,1,0,0,0,0,1,0,1,11.8,0,1,1,885,929,42
CA,1,24,1,0,0,0,0,1,0,0,0,2.18,0,1,1,245,264,20
CA,1,29,0,0,1,0,1,0,1,0,0,2.5,0,1,1,245,274,30
CA,1,40,1,0,0,0,0,0,1,1,1,21,0,1,1,542,559,15
CA,1,65,0,0,0,0,1,1,0,1,1,37.2,1,1,1,537,544,5
CA,1,36,0,0,1,0,1,1,0,1,1,12.3,0,1,1,512,534,20
CA,1,42,0,0,1,0,0,1,0,0,1,5.2,0,1,1,302,319,15
CA,1,55,0,0,0,0,1,0,1,1,1,6.73,0,1,1,527,569,40
CA,1,43,0,0,1,0,1,0,1,1,1,7.6,0,1,1,392,454,60
CA,1,56,1,0,0,0,0,1,0,0,1,1,0,1,1,815,844,30
CA,1,32,0,0,0,0,1,1,0,1,0,9.6,0,1,1,377,424,45
CA,1,32,1,0,0,0,0,1,0,1,1,14,0,1,1,467,514,45
CA,1,28,0,0,0,0,1,1,0,0,1,2.8,0,1,1,302,319,15
CA,1,43,0,0,0,0,1,0,1,1,1,18,0,1,1,362,394,30
CA,1,45,1,0,0,0,0,0,1,1,0,18,0,1,1,512,544,30
CA,1,36,0,0,0,0,1,0,1,0,1,10,0,1,1,302,319,15
CA,1,26,0,0,0,0,1,0,1,0,1,1.4,1,1,1,412,424,12
CA,1,78,0,0,0,0,1,0,1,1,0,12.6,1,1,1,437,449,10
CA,1,31,1,0,0,0,0,0,1,1,1,11.005,0,1,1,467,499,30
CA,1,58,0,0,0,0,1,0,1,1,0,36.3,0,1,1,362,379,15
CA,1,49,1,0,0,0,0,1,0,1,1,8.6,0,1,1,422,594,141
