state,i_urban,age,i_asian,i_black,i_hispanic,i_indigenous,i_white,i_female,i_male,education,i_grad_college,i_married,personal_income,i_foodstamps,i_health_insurance,i_internet,time_depart,time_arrive,time_commuting
AR,0,34,0,0,0,0,1,1,0,11,0,0,4.89,0,1,1,317,329,10
AR,0,32,0,0,0,0,0,0,1,12,0,0,6.7,0,1,1,422,454,30
AR,0,59,0,0,0,0,1,0,1,12,0,0,6.6,0,1,1,825,834,10
AR,0,54,0,0,0,0,0,0,1,14,0,0,4,0,1,1,725,744,20
AR,0,30,0,0,0,0,1,1,0,16,1,1,7.3,0,0,1,467,474,5
AR,0,20,0,0,1,0,1,0,1,13,0,0,0.7,0,0,0,512,544,30
AR,0,52,0,0,0,0,1,0,1,12,0,1,3.5,0,1,0,407,439,30
AR,0,45,0,0,0,0,1,0,1,12,0,1,2.5,0,1,1,685,694,5
AR,0,32,0,1,0,0,0,0,1,16,1,0,5,0,1,1,452,469,15
AR,0,20,0,0,1,0,1,0,1,12,0,0,0.28,0,1,1,472,484,12
AR,0,58,0,0,0,0,1,0,1,14,0,0,3.14,0,1,0,255,279,20
AR,0,29,0,0,0,0,1,1,0,12,0,1,3,0,0,1,492,504,10
AR,0,26,0,0,0,1,0,1,0,16,1,1,7.1,0,0,1,1025,1044,18
AR,0,61,0,0,1,0,1,1,0,16,1,0,0.84,0,1,1,572,584,10
AR,0,31,0,0,0,0,1,0,1,12,0,1,4.6,0,1,1,215,239,25
AR,0,33,0,0,1,0,0,0,1,10,0,0,1,0,0,1,605,614,10
AR,0,40,0,0,0,0,1,1,0,12,0,0,2.6,0,0,1,512,604,129
AR,0,19,0,0,0,0,1,1,0,13,0,0,0.3,0,1,1,472,494,20
AR,0,61,0,0,0,0,1,1,0,12,0,1,2.06,0,1,1,1065,1114,45
AR,0,26,0,0,0,0,1,0,1,16,1,1,0.9,0,1,1,532,544,10
AR,1,37,0,0,0,0,1,0,1,16,1,1,16.5,0,1,1,442,454,10
AR,1,52,0,0,0,0,1,0,1,13,0,0,0.9,0,1,1,362,374,10
AR,1,48,0,0,0,0,1,0,1,12,0,1,4.5,0,1,1,452,469,15
AR,1,49,0,0,0,0,1,1,0,17,1,1,4.2,0,1,1,332,379,45
AR,1,47,0,0,0,0,1,0,1,12,0,1,4.783,0,0,1,422,449,25
AR,1,28,0,0,0,0,1,1,0,12,0,0,0.8,0,1,1,705,724,20
AR,1,33,0,1,0,0,0,1,0,13,0,0,1.8,0,0,1,452,484,30
AR,1,53,0,0,0,0,1,0,1,17,1,1,9,0,1,1,452,459,6
AR,1,30,0,0,0,0,1,0,1,16,1,1,20,0,1,1,392,424,30
AR,1,33,0,0,0,0,1,0,1,12,0,1,3.1,0,1,1,437,454,15
AR,1,61,0,0,0,0,1,1,0,12,0,1,4.26,0,1,1,452,464,10
AR,1,26,0,0,0,0,1,1,0,12,0,0,2.8,0,1,1,452,469,15
AR,1,18,0,0,0,0,1,0,1,12,0,0,0.8,0,0,1,432,454,20
AR,1,52,0,0,0,0,1,0,1,13,0,1,7.5,0,1,1,422,429,5
AR,1,46,0,0,0,0,1,1,0,16,1,1,2.57,0,1,1,422,454,30
AR,1,53,0,0,0,0,1,1,0,16,1,1,2.51,0,1,1,542,569,25
AR,1,34,0,0,0,0,0,0,1,17,1,0,10,0,1,1,542,544,2
CA,0,35,1,0,0,0,0,0,1,12,0,1,1.48,0,1,1,935,964,30
CA,0,59,0,0,0,0,1,0,1,17,1,1,11.5,0,1,1,422,454,30
CA,0,49,0,0,0,0,1,1,0,12,0,1,0.69,0,1,1,482,504,20
CA,0,36,0,0,0,0,1,0,1,16,1,0,9.1,0,1,1,422,434,10
CA,0,30,0,0,1,0,0,1,0,12,0,1,3.2,0,1,1,512,524,12
CA,0,40,0,0,1,0,1,0,1,17,1,0,7.5,0,0,1,482,504,20
CA,0,67,1,0,0,0,0,0,1,13,0,0,3,0,1,1,665,679,15
CA,0,53,0,0,0,0,1,1,0,12,0,1,8,0,1,1,572,604,30
CA,0,58,0,0,1,0,1,0,1,12,0,1,9.2,0,1,1,362,384,20
CA,0,42,0,0,0,1,0,1,0,17,1,0,2.7,0,0,1,482,489,6
CA,0,64,0,0,0,0,1,1,0,12,0,1,4.2,0,1,1,482,499,15
CA,0,64,0,0,1,0,0,0,1,13,0,1,1.61,0,1,1,422,429,5
CA,0,66,0,0,0,0,1,0,1,12,0,0,4.8,1,1,1,665,674,10
CA,0,32,0,0,0,0,1,0,1,16,1,1,3.6,0,1,1,422,444,20
CA,0,70,0,0,0,0,1,1,0,12,0,0,2.93,0,1,0,557,579,20
CA,1,28,1,0,0,0,0,0,1,16,1,0,13.2,0,1,1,422,449,25
CA,1,27,1,0,0,0,0,1,0,16,1,0,5,1,1,1,542,569,25
CA,1,43,0,0,0,0,1,0,1,16,1,0,7.9,0,1,1,462,509,45
CA,1,61,0,0,0,0,1,1,0,16,1,1,16.3,0,1,1,452,529,75
CA,1,39,1,0,0,0,0,1,0,16,1,1,11.5,0,1,1,527,544,15
CA,1,34,0,0,0,0,1,0,1,12,0,0,6,1,1,1,407,469,60
CA,1,33,1,0,0,0,0,1,0,17,1,1,12.5,0,1,1,502,524,20
CA,1,40,0,0,1,0,0,1,0,13,0,1,1.8,0,1,1,512,544,30
CA,1,33,0,0,0,0,1,1,0,16,1,1,11.68,0,1,1,482,529,45
CA,1,58,0,0,0,0,1,0,1,12,0,1,6.4,0,1,1,482,499,15
CA,1,48,0,0,1,0,0,1,0,16,1,1,1.2,0,1,1,422,439,15
CA,1,35,0,0,0,0,0,0,1,16,1,0,3.5,0,1,1,572,599,25
CA,1,24,0,0,1,0,1,0,1,12,0,0,2,0,1,1,372,394,20
CA,1,32,1,0,0,0,0,1,0,13,0,0,3.2,0,1,1,422,454,30
CA,1,48,0,0,1,0,0,0,1,12,0,1,4.5,0,1,1,482,499,15
CA,1,20,1,0,0,0,0,0,1,12,0,0,0.8,0,1,1,665,684,20
CA,1,40,1,0,0,0,0,1,0,17,1,1,10,0,1,1,542,559,15
CA,1,54,0,0,1,0,1,0,1,16,1,1,6,0,1,1,275,314,40
CA,1,52,1,0,0,0,0,0,1,16,1,1,7,0,1,1,392,424,30
CA,1,34,1,0,0,0,0,0,1,17,1,0,10,0,1,1,542,574,30
CA,1,48,1,0,0,0,0,1,0,16,1,1,1.44,0,1,1,572,584,10
CA,1,49,1,0,0,0,0,1,0,16,1,1,13.06,0,1,1,542,589,45
CA,1,25,0,0,0,0,1,0,1,12,0,0,5.4,0,1,1,215,254,40
CA,1,58,0,0,0,0,1,1,0,12,0,0,2.4,0,1,1,332,359,25
CA,1,47,0,0,0,0,1,1,0,17,1,0,9.52,0,1,1,482,529,45
CA,1,29,0,0,0,0,1,1,0,16,1,1,9,0,1,1,502,564,60
CA,1,58,0,0,1,0,0,0,1,12,0,1,10,0,1,1,422,499,75
CA,1,61,1,0,0,0,0,0,1,12,0,1,0.99,0,1,1,552,569,15
CA,1,62,0,0,0,0,1,0,1,12,0,1,3,0,1,1,392,404,10
CA,1,26,0,0,0,0,1,1,0,13,0,0,1.81,0,1,1,392,409,15
CA,1,39,0,0,1,0,0,1,0,14,0,0,1.86,0,1,1,362,404,40
CA,1,32,0,0,0,0,0,0,1,16,1,0,18.502,0,1,1,452,479,25
CA,1,45,0,0,1,0,0,1,0,13,0,1,2.5,0,1,1,377,399,24
CA,1,31,0,0,0,0,1,0,1,17,1,1,9,0,1,1,422,469,45
CA,1,38,0,0,0,0,1,0,1,12,0,0,14,0,1,1,542,564,20
CA,1,21,0,0,1,0,1,1,0,16,1,0,0.8,0,0,1,492,524,30
CA,1,25,0,0,1,0,1,1,0,16,1,1,1.4,0,1,1,382,394,12
CA,1,79,0,0,0,0,1,1,0,13,0,0,1.52,0,1,1,542,569,25
CA,1,57,0,0,0,0,1,1,0,12,0,1,9,0,1,1,332,364,30
CA,1,54,1,0,0,0,0,0,1,17,1,1,6.4,0,1,1,442,534,90
CA,1,48,0,0,0,0,1,1,0,16,1,1,5.5,0,1,1,675,689,10
CA,1,74,0,0,0,0,1,0,1,17,1,1,19.53,0,1,1,482,489,5
CA,1,58,0,0,0,0,1,0,1,16,1,1,23.5,0,1,1,392,514,141
CA,1,18,1,0,0,0,0,1,0,12,0,0,0.45,0,1,1,965,994,30
CA,1,47,0,0,1,0,0,0,1,12,0,1,7.2,0,1,1,362,414,50
CA,1,62,0,0,0,0,1,0,1,17,1,1,16.92,0,1,1,422,449,25
CA,1,63,0,1,0,0,0,0,1,16,1,1,56.5,0,1,1,377,424,45
CA,1,21,0,0,1,0,1,0,1,12,0,0,2.5,0,1,1,275,299,25
